,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
108,176.3674229889806,179.28209792974448,175.93122620309688,179.01443481445312,50214900,0.0,0.0,AAPL
109,179.93641863686977,180.66012561666918,179.07391833043295,179.4010772705078,48870700,0.0,0.0,AAPL
110,179.7084305703386,182.30585540353945,179.41101193334958,182.2067108154297,54274900,0.0,0.0,AAPL
111,181.22521869290037,182.56357964467625,180.86831941362593,181.73081970214844,54929100,0.0,0.0,AAPL
112,181.7903054182597,182.8015225920405,180.45194442949565,182.3653106689453,57462900,0.0,0.0,AAPL
113,182.3752648056927,184.91320900884034,182.19680756750913,184.4075927734375,65433200,0.0,0.0,AAPL
114,185.12138568804832,185.37915556544473,182.68258615200966,183.3269805908203,101235600,0.0,0.0,AAPL
115,182.82137659501507,184.4968202621219,182.82137659501507,183.41619873046875,49799100,0.0,0.0,AAPL
116,183.30714894064778,183.8127651610623,181.01705115534045,182.37525939941406,49515700,0.0,0.0,AAPL
117,182.15715766621673,185.43864089866383,182.08775342754114,185.38906860351562,51245300,0.0,0.0,AAPL
118,183.95153754819322,185.94421646985703,183.41618103785228,185.07179260253906,53079300,0.0,0.0,AAPL
119,185.22052415803645,186.43001547826037,183.63430156934749,183.67396545410156,48088700,0.0,0.0,AAPL
120,184.28860667459685,186.7670698420573,184.07050070567323,186.43991088867188,50730800,0.0,0.0,AAPL
121,186.31103877905792,188.26406909954764,185.9838949305078,187.6196746826172,51216800,0.0,0.0,AAPL
122,187.4511250421375,188.43260188630063,187.3123317121149,187.95672607421875,46347300,0.0,0.0,AAPL
123,189.97918829297507,192.80462759541973,189.6123654098311,192.2990264892578,85069600,0.0,0.0,AAPL
124,192.11065327577057,192.20979786240994,190.1080506189076,190.80203247070312,31458200,0.0,0.0,AAPL
125,189.91970062749374,191.31754248795588,188.97787243386384,189.6817626953125,46920300,0.0,0.0,AAPL
126,188.20457782150964,190.36580559694158,187.57009184775086,190.15760803222656,45094300,0.0,0.0,AAPL
127,189.76106040417397,191.01020041329645,188.60114143984475,189.03733825683594,46778000,0.0,0.0,AAPL
128,187.62957811566648,188.3533002828443,185.42870151973196,186.9851837158203,59922200,0.0,0.0,AAPL
129,187.53046059023825,187.66925393721883,184.99251645839882,186.4597625732422,46638100,0.0,0.0,AAPL
130,188.0459566971953,190.04855924155865,186.84638895388292,188.13519287109375,60750200,0.0,0.0,AAPL
131,188.85889555641208,189.54295381895912,188.1450969456968,188.89854431152344,41342300,0.0,0.0,AAPL
132,188.59121259694425,189.5330255625977,187.9963905210603,189.04725646972656,41573900,0.0,0.0,AAPL
133,190.2468257033596,192.64599134916114,190.1576046603519,192.31883239746094,50520200,0.0,0.0,AAPL
134,191.6843647836334,192.65591819761897,190.76236853561463,192.0610809326172,48353800,0.0,0.0,AAPL
135,191.4365103758755,196.52230675519328,190.99037488225764,193.41928100585938,80507300,0.0,0.0,AAPL
136,193.40936968617578,194.77748634801802,190.84168518874347,191.4662628173828,59581200,0.0,0.0,AAPL
137,192.42791035637276,193.29041080540085,189.5826239989074,190.28651428222656,71917800,0.0,0.0,AAPL
138,191.74382595603396,193.2309038397432,190.59381542873754,191.08950805664062,45377800,0.0,0.0,AAPL
139,191.66453127210508,192.7649696142135,191.25805964859208,191.9520263671875,37283200,0.0,0.0,AAPL
140,192.0015959886147,193.95462630849192,191.6546201978147,192.82444763183594,47471900,0.0,0.0,AAPL
141,194.33134751765755,195.50117489112708,190.89123937354253,191.5554656982422,47460200,0.0,0.0,AAPL
142,192.99297950413737,194.9361013981904,192.46754649179775,194.1429901123047,48291400,0.0,0.0,AAPL
143,194.37098975201062,194.79729327585247,193.5778785263088,194.75762939453125,38824100,0.0,0.0,AAPL
144,194.54944325919743,195.0352123410956,193.59770678100793,193.92486572265625,35175100,0.0,0.0,AAPL
145,193.35975854022544,193.49855186010876,190.1972525280745,190.92095947265625,50389300,0.0,0.0,AAPL
146,189.91969553388512,190.71279169853844,189.04727159995883,189.52313232421875,61235200,0.0,0.0,AAPL
147,183.92183059501792,185.76580811380504,180.3528369691908,180.4222412109375,115799700,0.0,0.0,AAPL
148,180.5610076771683,181.55239296699656,175.8221872019764,177.30926513671875,97576100,0.0,0.0,AAPL
149,178.1420151343907,178.71702038544473,176.05019168536276,178.25106811523438,67823000,0.0,0.0,AAPL
150,179.31184291731705,179.37132361114365,175.48509529864398,176.65493774414062,60378500,0.0,0.0,AAPL
151,177.93383023619305,179.1928938087059,176.07003615011226,176.4368438720703,54686900,0.0,0.0,AAPL
152,176.02983256684112,177.32036168980022,175.26543082107975,176.49639892578125,51988100,0.24,0.0,AAPL
153,176.67511718788185,178.38260392804418,176.01991561712387,178.15428161621094,43675600,0.0,0.0,AAPL
154,177.5784931204611,178.17411849604412,175.7618061867858,176.1588897705078,43622600,0.0,0.0,AAPL
155,175.84121662599503,177.24094603057796,175.2157956243564,175.28529357910156,46964900,0.0,0.0,AAPL
156,175.85113106656488,176.2184341041098,172.21775754332145,172.73397827148438,66062900,0.0,0.0,AAPL
157,171.04636032936088,173.82599075554495,170.70883778094841,173.22042846679688,61114200,0.0,0.0,AAPL
158,173.7961908502,174.84847582356457,172.47586616641206,174.56057739257812,46311900,0.0,0.0,AAPL
159,175.77172944077836,176.38721354501158,174.96762533098521,175.94049072265625,42084200,0.0,0.0,AAPL
160,177.2211114741355,180.2290643006026,177.032491470534,179.80218505859375,52722800,0.0,0.0,AAPL
161,179.355459364837,179.78233860000068,174.72936147404116,175.0966796875,54945800,0.0,0.0,AAPL
162,176.08940889849805,177.84651968096887,174.54076169805765,177.31045532226562,51449600,0.0,0.0,AAPL
163,178.77968881089737,179.27605088665493,177.25090028258217,178.87896728515625,43820700,0.0,0.0,AAPL
164,178.3924962958512,183.55465796575328,178.19395452927148,182.78033447265625,53003900,0.0,0.0,AAPL
165,183.59439418869403,186.48322490340712,183.39585240180426,186.28466796875,60813900,0.0,0.0,AAPL
166,186.47328650618994,187.7439721096439,186.11590523348306,186.50306701660156,60794500,0.0,0.0,AAPL
167,188.11130822320726,188.53817234491697,186.91010531378714,188.08152770996094,45732600,0.0,0.0,AAPL
168,186.91011189063622,188.59774000764165,186.2449884917834,188.3197784423828,45280000,0.0,0.0,AAPL
169,187.02920802693,187.47594597496703,180.14963751857883,181.57916259765625,81755800,0.0,0.0,AAPL
170,173.90540860928058,176.9133767073295,172.27734161590178,176.26809692382812,112488800,0.0,0.0,AAPL
171,177.05233659559462,178.92858440411607,176.4963984153427,176.88356018066406,65551300,0.0,0.0,AAPL
172,178.7598181226865,178.98814040153138,176.0496706936909,178.0549774169922,58953100,0.0,0.0,AAPL
173,178.18404991763566,178.81939272059032,173.5480302988034,175.0172576904297,90370200,0.0,0.0,AAPL
174,175.22571224634177,176.00997270905043,172.71412167424248,172.9424591064453,84267900,0.0,0.0,AAPL
175,172.73398888645488,174.81871550108795,172.3170465930817,174.46133422851562,60895800,0.0,0.0,AAPL
176,175.1959388893145,175.2157976120051,172.55530438661506,173.73663330078125,109205100,0.0,0.0,AAPL
177,175.1959303652364,178.0748391046168,174.88818834345716,176.6750946044922,67257600,0.0,0.0,AAPL
178,176.22837977645918,178.32302815377042,175.84121799808253,177.76710510253906,51826900,0.0,0.0,AAPL
179,177.95569322220518,178.39249419218916,174.1237780961169,174.213134765625,58436200,0.0,0.0,AAPL
180,173.27998896827123,175.01725608596104,172.59500693822505,172.66448974609375,63047900,0.0,0.0,AAPL
181,173.39911221131908,175.79158086544706,172.7836281326413,173.5182342529297,56725400,0.0,0.0,AAPL
182,172.93251742028295,175.6823671360894,172.88287819083024,174.79884338378906,46172700,0.0,0.0,AAPL
183,173.54802313417602,173.92524796713502,170.41101154694528,170.70883178710938,64588900,0.0,0.0,AAPL
184,171.36402481079512,171.78096710415326,167.8200077433672,169.18995666503906,66921800,0.0,0.0,AAPL
185,168.1078907839796,170.77832096236608,166.40040416763804,169.4480743408203,56294400,0.0,0.0,AAPL
186,170.76839850543928,171.81076180692196,169.10061419351356,169.96429443359375,51814200,0.0,0.0,AAPL
187,169.97421860938772,173.03181060107437,169.6863201427267,172.48580932617188,52164500,0.0,0.0,AAPL
188,171.0066491138284,172.366691440067,169.57713912474932,171.1456298828125,49594600,0.0,0.0,AAPL
189,169.8451609338146,172.94247039530038,169.7260388902924,172.39646911621094,53020300,0.0,0.0,AAPL
190,172.52551359241795,174.17343922355133,171.42358924241523,173.6373748779297,48527900,0.0,0.0,AAPL
191,172.53545399514545,176.69497045530053,171.91995474415313,176.1986083984375,57224100,0.0,0.0,AAPL
192,175.52353680032698,177.74724412480685,174.52089096334598,177.68768310546875,42390800,0.0,0.0,AAPL
193,176.80415770883764,178.41236580749592,176.6552400140717,177.092041015625,43698000,0.0,0.0,AAPL
194,176.90341107776567,178.54141474149296,176.30778577549145,178.4917755126953,47551100,0.0,0.0,AAPL
195,178.759844529376,181.01331743803624,177.73732472140046,179.3951873779297,56743100,0.0,0.0,AAPL
196,180.09998356079097,180.60626734000098,176.84385010145385,177.54869079589844,51427100,0.0,0.0,AAPL
197,175.46397958471027,177.7770284883398,175.22572035442593,177.41964721679688,52517000,0.0,0.0,AAPL
198,175.36470667426025,177.12183257732815,173.5281761730158,175.86106872558594,57549400,0.0,0.0,AAPL
199,174.30247461631913,176.2879225352004,173.83589314356078,174.56057739257812,54764400,0.0,0.0,AAPL
200,174.75916209365136,176.54606868924478,173.91535560946087,174.1833953857422,59302900,0.0,0.0,AAPL
201,174.03445888939677,174.14365914589465,171.38388737014972,171.6221466064453,64189300,0.0,0.0,AAPL
202,169.66648220683237,172.7439178760632,168.69360166729962,171.74127197265625,55980100,0.0,0.0,AAPL
203,171.79089305137515,172.40637709061713,170.2025285754243,172.1780548095703,43816600,0.0,0.0,AAPL
204,170.62942613878033,171.80083332633419,169.4083645680371,169.8551025390625,57157000,0.0,0.0,AAPL
205,169.1303957533013,170.13305676328346,164.4645956319317,165.67572021484375,70625300,0.0,0.0,AAPL
206,165.69558183671225,167.73066925493364,165.6161620916175,166.9960479736328,58499100,0.0,0.0,AAPL
207,167.7902006289594,169.9245509905925,167.6412829528071,169.0509490966797,51131000,0.0,0.0,AAPL
208,238.67660292589414,241.29823402669174,233.09948844422817,235.24000549316406,25740000,0.0,0.0,MSFT
209,228.07224672935166,228.65155528390636,221.86674131670614,224.94985961914062,50623400,0.0,0.0,MSFT
210,223.0843004172486,223.42796620859252,217.7428428679085,218.2828826904297,39585600,0.0,0.0,MSFT
211,218.96037666884743,221.67037414337992,215.376502057129,220.85540771484375,43613600,0.0,0.0,MSFT
212,222.34786087714497,227.05109853622983,222.30859206839725,223.00572204589844,27369800,0.0,0.0,MSFT
213,223.6341254274707,227.11982022415233,223.21192206293,224.7043914794922,27033900,0.0,0.0,MSFT
214,227.100182955992,231.67577081089505,226.92345084138603,231.49903869628906,28669300,0.0,0.0,MSFT
215,230.99829585800464,235.55424237172366,229.3290940932467,234.18942260742188,27269500,0.0,0.0,MSFT
216,232.70674766587976,235.03381034817815,230.66442504459786,234.89634704589844,21333300,0.0,0.0,MSFT
217,233.65921748599973,236.54596231241507,232.79515373322812,235.99610900878906,29831300,0.0,0.0,MSFT
